#:m      eta      Q
0.262350 0.054450 0.000000 
0.272250 0.054450 0.000000 
0.282150 0.054450 0.000000 
0.292050 0.054450 0.000000 
0.301950 0.054450 0.000000 
0.311850 0.054450 0.000000 
0.321750 0.054450 0.000000 
0.331650 0.054450 0.000000 
0.341550 0.054450 0.000000 
0.351450 0.054450 0.000000 
0.361350 0.054450 0.000000 
0.371250 0.054450 0.000000 
0.381150 0.054450 0.000000 
0.391050 0.054450 0.000000 
0.400950 0.054450 0.000000 
0.410850 0.054450 0.000000 
0.420750 0.054450 0.000000 
0.430650 0.054450 0.000000 
0.440550 0.054450 0.000000 
0.450450 0.054450 0.000000 
0.460350 0.054450 0.000000 
0.470250 0.054450 0.000000 
0.480150 0.054450 0.000000 
0.490050 0.054450 0.000000 
0.499950 0.054450 0.000000 
0.509850 0.054450 0.000000 
0.519750 0.054450 0.000000 
0.529650 0.054450 0.000000 
0.539550 0.054450 0.000000 
0.549450 0.054450 0.000000 
0.559350 0.054450 0.000000 
0.569250 0.054450 0.000000 
0.579150 0.054450 0.000000 
0.589050 0.054450 0.000000 
0.598950 0.054450 0.000000 
0.608850 0.054450 0.000000 
0.618750 0.054450 0.000000 
0.628650 0.054450 0.000000 
0.638550 0.054450 0.000000 
0.648450 0.054450 0.000000 
0.658350 0.054450 0.000000 
0.668250 0.054450 0.000000 
0.678150 0.054450 0.000000 
0.688050 0.054450 0.000000 
0.697950 0.054450 0.000000 
0.707850 0.054450 0.000000 
0.717750 0.054450 0.000000 
0.727650 0.054450 0.000000 
0.737550 0.054450 0.000000 
0.747450 0.054450 0.000000 
0.757350 0.054450 0.000000 
0.767250 0.054450 0.000000 
0.777150 0.054450 0.000000 
0.787050 0.054450 0.000000 
0.796950 0.054450 0.000000 
0.806850 0.054450 0.000000 
0.816750 0.054450 0.000000 
0.826650 0.054450 0.000000 
0.836550 0.054450 0.000000 
0.846450 0.054450 0.000000 
0.856350 0.054450 0.000000 
0.866250 0.054450 0.000000 
0.876150 0.054450 0.000000 
0.886050 0.054450 0.000000 
0.895950 0.054450 0.000000 
0.905850 0.054450 0.000000 
0.915750 0.054450 0.000000 
0.925650 0.054450 0.000000 
0.935550 0.054450 0.000000 
0.945450 0.054450 0.000000 
0.955350 0.054450 0.000000 
0.965250 0.054450 0.000000 
0.975150 0.054450 0.000000 
0.985050 0.054450 0.000000 

0.004950 0.064350 -0.002137 
0.014850 0.064350 -0.002190 
0.024750 0.064350 -0.002347 
0.034650 0.064350 -0.002611 
0.044550 0.064350 -0.002981 
0.054450 0.064350 -0.003459 
0.064350 0.064350 -0.004045 
0.074250 0.064350 -0.004742 
0.084150 0.064350 -0.005551 
0.094050 0.064350 -0.006474 
0.103950 0.064350 -0.007515 
0.113850 0.064350 -0.008676 
0.123750 0.064350 -0.009960 
0.133650 0.064350 -0.011372 
0.143550 0.064350 -0.012914 
0.153450 0.064350 -0.014593 
0.163350 0.064350 -0.016413 
0.173250 0.064350 -0.018379 
0.183150 0.064350 -0.020499 
0.193050 0.064350 -0.022778 
0.202950 0.064350 -0.025225 
0.212850 0.064350 -0.027847 
0.222750 0.064350 -0.030654 
0.232650 0.064350 -0.033655 
0.242550 0.064350 -0.036862 
0.252450 0.064350 0.000000 
0.262350 0.064350 0.000000 
0.272250 0.064350 0.000000 
0.282150 0.064350 0.000000 
0.292050 0.064350 0.000000 
0.301950 0.064350 0.000000 
0.311850 0.064350 0.000000 
0.321750 0.064350 0.000000 
0.331650 0.064350 0.000000 
0.341550 0.064350 0.000000 
0.351450 0.064350 0.000000 
0.361350 0.064350 0.000000 
0.371250 0.064350 0.000000 
0.381150 0.064350 0.000000 
0.391050 0.064350 0.000000 
0.400950 0.064350 0.000000 
0.410850 0.064350 0.000000 
0.420750 0.064350 0.000000 
0.430650 0.064350 0.000000 
0.440550 0.064350 0.000000 
0.450450 0.064350 0.000000 
0.460350 0.064350 0.000000 
0.470250 0.064350 0.000000 
0.480150 0.064350 0.000000 
0.490050 0.064350 0.000000 
0.499950 0.064350 0.000000 
0.509850 0.064350 0.000000 
0.519750 0.064350 0.000000 
0.529650 0.064350 0.000000 
0.539550 0.064350 0.000000 
0.549450 0.064350 0.000000 
0.559350 0.064350 0.000000 
0.569250 0.064350 0.000000 
0.579150 0.064350 0.000000 
0.589050 0.064350 0.000000 
0.598950 0.064350 0.000000 
0.608850 0.064350 0.000000 
0.618750 0.064350 0.000000 
0.628650 0.064350 0.000000 
0.638550 0.064350 0.000000 
0.648450 0.064350 0.000000 
0.658350 0.064350 0.000000 
0.668250 0.064350 0.000000 
0.678150 0.064350 0.000000 
0.688050 0.064350 0.000000 
0.697950 0.064350 0.000000 
0.707850 0.064350 0.000000 
0.717750 0.064350 0.000000 
0.727650 0.064350 0.000000 
0.737550 0.064350 0.000000 
0.747450 0.064350 0.000000 
0.757350 0.064350 0.000000 
0.767250 0.064350 0.000000 
0.777150 0.064350 0.000000 
0.787050 0.064350 0.000000 
0.796950 0.064350 0.000000 
0.806850 0.064350 0.000000 
0.816750 0.064350 0.000000 
0.826650 0.064350 0.000000 
0.836550 0.064350 0.000000 
0.846450 0.064350 0.000000 
0.856350 0.064350 0.000000 
0.866250 0.064350 0.000000 
0.876150 0.064350 0.000000 
0.886050 0.064350 0.000000 
0.895950 0.064350 0.000000 
0.905850 0.064350 0.000000 
0.915750 0.064350 0.000000 
0.925650 0.064350 0.000000 
0.935550 0.064350 0.000000 
0.945450 0.064350 0.000000 
0.955350 0.064350 0.000000 
0.965250 0.064350 0.000000 
0.975150 0.064350 0.000000 
0.985050 0.064350 0.000000 

0.004950 0.074250 -0.002855 
0.014850 0.074250 -0.002905 
0.024750 0.074250 -0.003057 
0.034650 0.074250 -0.003311 
0.044550 0.074250 -0.003667 
0.054450 0.074250 -0.004126 
0.064350 0.074250 -0.004690 
0.074250 0.074250 -0.005359 
0.084150 0.074250 -0.006137 
0.094050 0.074250 -0.007025 
0.103950 0.074250 -0.008025 
0.113850 0.074250 -0.009141 
0.123750 0.074250 -0.010375 
0.133650 0.074250 -0.011731 
0.143550 0.074250 -0.013213 
0.153450 0.074250 -0.014826 
0.163350 0.074250 -0.016573 
0.173250 0.074250 -0.018462 
0.183150 0.074250 -0.020496 
0.193050 0.074250 -0.022684 
0.202950 0.074250 -0.025032 
0.212850 0.074250 -0.027548 
0.222750 0.074250 -0.030241 
0.232650 0.074250 -0.033119 
0.242550 0.074250 -0.036194 
0.252450 0.074250 -0.039476 
0.262350 0.074250 -0.042978 
0.272250 0.074250 0.000000 
0.282150 0.074250 0.000000 
0.292050 0.074250 0.000000 
0.301950 0.074250 0.000000 
0.311850 0.074250 0.000000 
0.321750 0.074250 0.000000 
0.331650 0.074250 0.000000 
0.341550 0.074250 0.000000 
0.351450 0.074250 0.000000 
0.361350 0.074250 0.000000 
0.371250 0.074250 0.000000 
0.381150 0.074250 0.000000 
0.391050 0.074250 0.000000 
0.400950 0.074250 0.000000 
0.410850 0.074250 0.000000 
0.420750 0.074250 0.000000 
0.430650 0.074250 0.000000 
0.440550 0.074250 0.000000 
0.450450 0.074250 0.000000 
0.460350 0.074250 0.000000 
0.470250 0.074250 0.000000 
0.480150 0.074250 0.000000 
0.490050 0.074250 0.000000 
0.499950 0.074250 0.000000 
0.509850 0.074250 0.000000 
0.519750 0.074250 0.000000 
0.529650 0.074250 0.000000 
0.539550 0.074250 0.000000 
0.549450 0.074250 0.000000 
0.559350 0.074250 0.000000 
0.569250 0.074250 0.000000 
0.579150 0.074250 0.000000 
0.589050 0.074250 0.000000 
0.598950 0.074250 0.000000 
0.608850 0.074250 0.000000 
0.618750 0.074250 0.000000 
0.628650 0.074250 0.000000 
0.638550 0.074250 0.000000 
0.648450 0.074250 0.000000 
0.658350 0.074250 0.000000 
0.668250 0.074250 0.000000 
0.678150 0.074250 0.000000 
0.688050 0.074250 0.000000 
0.697950 0.074250 0.000000 
0.707850 0.074250 0.000000 
0.717750 0.074250 0.000000 
0.727650 0.074250 0.000000 
0.737550 0.074250 0.000000 
0.747450 0.074250 0.000000 
0.757350 0.074250 0.000000 
0.767250 0.074250 0.000000 
0.777150 0.074250 0.000000 
0.787050 0.074250 0.000000 
0.796950 0.074250 0.000000 
0.806850 0.074250 0.000000 
0.816750 0.074250 0.000000 
0.826650 0.074250 0.000000 
0.836550 0.074250 0.000000 
0.846450 0.074250 0.000000 
0.856350 0.074250 0.000000 
0.866250 0.074250 0.000000 
0.876150 0.074250 0.000000 
0.886050 0.074250 0.000000 
0.895950 0.074250 0.000000 
0.905850 0.074250 0.000000 
0.915750 0.074250 0.000000 
0.925650 0.074250 0.000000 
0.935550 0.074250 0.000000 
0.945450 0.074250 0.000000 
0.955350 0.074250 0.000000 
0.965250 0.074250 0.000000 
0.975150 0.074250 0.000000 
0.985050 0.074250 0.000000 

0.004950 0.084150 -0.003660 
0.014850 0.084150 -0.003709 
0.024750 0.084150 -0.003855 
0.034650 0.084150 -0.004099 
0.044550 0.084150 -0.004441 
0.054450 0.084150 -0.004883 
0.064350 0.084150 -0.005425 
0.074250 0.084150 -0.006069 
